105.7216	343.1618	a
1178.858	108.0125	b
650.5285	113.0125	c
539.4163	323.1618	d
460.5197	610.249	e
753.9483	354.1618	f
948.453	346.1618	g
1170.386	374.1618	h
1425.123	593.249	i
1385.618	349.1618	j
1606.087	342.1618	k
1810.402	367.1618	l
1455.588	91.0125	m
1738.41	118.0125	n
1656.82	594.249	o
1788.139	600.249	p
90.13049	598.249	q
671.2721	639.249	r
327.3738	334.1618	s
855.2269	610.249	t
1222.24	632.249	u
911.9147	115.0125	v
243.6977	595.249	w
420.4543	97.0125	x
1033.733	625.249	y
135.3186	113.0125	z
